Sl. No.	Chen	Gierahn	Grun	Islam	Klein	Savas	Soumillon2	Tung	Soumillon1	Zigenhein	Soumillon3
2339	ENSG00000276600	NLRP2	Pnck	Slc27a3	St3gal6	ENSG00000143942	LINC00888	ENSG00000113361	AP1AR	ENSMUSG00000090290	RRP7B
2340	ENSG00000261519	TERC	Ptk2b	Gosr1	Tmem63c	ENSG00000236481	TCTN2	ENSG00000174943	DECR2	ENSMUSG00000033318	ANKRD13A
2341	ENSG00000139132	DXO	Atp8a1	Col4a5	Actl11	ENSG00000124575	ABCB5	ENSG00000100473	PDZD7	ENSMUSG00000030802	FGF2
2342	ENSG00000188643	C2CD3	Fam105b	Reep5	Ifitm10	ENSG00000196497	UGGT2	ENSG00000067182	GPR4	ENSMUSG00000038967	ZNF205-AS1
2343	ENSG00000275807	RNFT2	Hist4h4	Tusc3	Itgax	ENSG00000183765	ISLR	ENSG00000141012	TNFAIP8L3	ENSMUSG00000028602	FGD2
2344	ENSG00000179598	ZNF669	Nhej1	Extl3	Mettl7a3	ENSG00000112167	CCDC88A	ENSG00000157782	PTAR1	ENSMUSG00000035561	LINC00167
2345	ENSG00000248787	CCDC51	Cpne1	Prx	Olfr827	ENSG00000128951	PPIP5K2	ENSG00000135318	C6orf170	ENSMUSG00000060519	TTC3P1
2346	ENSG00000231690	COPRS	Hist1h4b	Nlgn2	Rd3l	ENSG00000090621	ASPHD1	ENSG00000164694	ACO2	ENSMUSG00000020315	C3
2347	ENSG00000130052	RPL10L	Calr	Bet1l	Rpgrip1l	ENSG00000131470	BBC3	ENSG00000132612	D21S2088E	ENSMUSG00000033793	DAG1
2348	ENSG00000050438	NDRG2	Luc7l	Peg3	Mettl24	ENSG00000125871	C16orf3	ENSG00000159069	TMPRSS11B	ENSMUSG00000030095	HRH4
2349	ENSG00000258572	ARMC6	Dnajc6	Mllt3	Mup21	ENSG00000166130	CLCN2	ENSG00000214708	SETD5-AS1	ENSMUSG00000022453	TMEM136
2350	ENSG00000262020	LPCAT3	Vwa5a	Rb1cc1	Scn11a	ENSG00000138760	CXCL5	ENSG00000196361	ZNF746	ENSMUSG00000039826	ANKRD13C
2351	ENSG00000183248	RP11-150O12.6	Pdrg1	Cul1	Serinc4	ENSG00000167081	DNAJB13	ENSG00000145491	TAF1	ENSMUSG00000020256	CDT1
2352	ENSG00000175048	HIST2H2AC	Mrps31	Pcyox1	Shank2	ENSG00000124207	EFCAB4A	ENSG00000187066	MT1L	ENSMUSG00000065979	HIF3A
2353	ENSG00000166741	GLMN	Cmc1	B3galt6	C630031E19Rik	ENSG00000158042	FBXL8	ENSG00000172824	RPF2	ENSMUSG00000070699	MLH3
2354	ENSG00000101000	AP000783.1	Dph3	Hsd17b4	Gm11346	ENSG00000171552	FGF13	ENSG00000049449	RASSF2	ENSMUSG00000048232	CCT2
2355	ENSG00000107959	ANKRD6	Pgam1	Synm	1700001D01Rik	ENSG00000135778	GDPGP1	ENSG00000213780	JRK	ENSMUSG00000003038	ITGAL
2356	ENSG00000187720	B4GALNT3	Fzd5	Mrpl3	Cd40lg	ENSG00000115425	GNAT1	ENSG00000185920	AMY2B	ENSMUSG00000031574	MGC34034
2357	ENSG00000163376	BST2	Dhps	Hoxc9	Ceacam16	ENSG00000282988	GPC5-AS1	ENSG00000247746	BTBD1	ENSMUSG00000038046	ZBTB8B
2358	ENSG00000236668	C2orf72	Tmcc1	Cxadr	Cyp2d12	ENSG00000173588	GRAMD2	ENSG00000125817	HMOX1	gERCC-00054	ANKS1B
2359	ENSG00000182533	CADM2	Mavs	Atoh8	Ear2	ENSG00000184445	KIAA1161	ENSG00000105364	LOC100134229	ENSMUSG00000050213	BAGE4
2360	ENSG00000112096	COL7A1	Hist2h2ab	Ccdc68	Foxs1	ENSG00000186141	LINC00511	ENSG00000107438	ALKBH2	ENSMUSG00000058709	CCDC150
2361	ENSG00000271936	CTA-445C9.15	Pgk1	Zfp329	Gm20556	ENSG00000101079	LOC100507194	ENSG00000156639	PPM1A	ENSMUSG00000035790	CSPG4
2362	ENSG00000141404	CTDP1	Tmem55a	Ube2r2	H2-M11	ENSG00000165195	NAPRT1	ENSG00000272968	RPL34-AS1	ENSMUSG00000068744	GINS2
2363	ENSG00000066056	EOMES	Ifitm3	Crip2	Insl3	ENSG00000152556	NDRG2	ENSG00000165309	DAAM2	ENSMUSG00000032932	HBEGF
2364	ENSG00000250326	FAM102B	Gm5506	r_Tigger7	Mir6352	ENSG00000169919	NRXN1	ENSG00000267882	OGG1	ENSMUSG00000022110	IL7R
2365	ENSG00000214300	GAS7	Gskip	Sox4	Mir6412	ENSG00000133142	OTX1	ENSG00000214063	WISP2	ENSMUSG00000041028	LOC344887
2366	ENSG00000106785	GRID1	Akr1a1	Slc12a4	Mir6907	ENSG00000082805	PRKCB	ENSG00000087074	KDM5D	ENSMUSG00000035164	LOC440895
2367	ENSG00000157570	H1FX-AS1	Fsbp	Myo1c	Mir742	ENSG00000170006	RBM20	ENSG00000164483	C21orf2	ENSMUSG00000028016	LOC79015
2368	ENSG00000269881	INO80	Mgrn1	Lmna	Mir761	ENSG00000120915	SLC25A10	ENSG00000219626	BPHL	ENSMUSG00000031934	PCDHGB7
2369	ENSG00000226763	IQCJ-SCHIP1	Mpst	Slit2	Ncan	ENSG00000139508	SLC25A21	ENSG00000143320	CRABP2	ENSMUSG00000080198	REPS2
2370	ENSG00000257038	MAP2K5	Pcdhga9	Blcap	Olfr1233	ENSG00000103353	SOD3	ENSG00000025423	LOC286190	ENSMUSG00000030966	SERTAD4-AS1
2371	ENSG00000120049	MAP3K12	Gatsl3	Gpr137	Olfr414	ENSG00000105699	TMCC3	ENSG00000172175	GPATCH4	ENSMUSG00000032040	STMN3
2372	ENSG00000223473	NT5M	Cd24a	Fhdc1	Olfr530	ENSG00000150347	TMPRSS4-AS1	ENSG00000174652	ELOVL5	ENSMUSG00000052374	SYT7
2373	ENSG00000249515	OLFML2A	Pkm	Sema4c	Olfr911-ps1	ENSG00000101421	TXLNG2P	ENSG00000198133	HSD17B7	ENSMUSG00000038816	TMEM75
2374	ENSG00000273004	RGS7	2410012M07Rik	Ptpn3	Ugt1a10	ENSG00000142089	ZDHHC22	ENSG00000081041	PTPRK	ENSMUSG00000026213	C17orf58
2375	ENSG00000118432	RP11-333E1.1	Gdpd1	Tnip2	Ugt1a5	ENSG00000116857	ZPBP2	ENSG00000152475	ZCCHC8	ENSMUSG00000017837	NAP1L3
2376	ENSG00000269937	RP11-480I12.7	Katnal1	Zfp384	Vmn2r57	ENSG00000197601	FAM160B1	ENSG00000079263	PIGP	ENSMUSG00000025151	NFKBIA
2377	ENSG00000244558	RP11-849F2.9	Proser2	Bcorl1	2010001E11Rik	ENSG00000157895	STARD13	ENSG00000156475	SPPL2B	ENSMUSG00000037936	PHF21A
2378	ENSG00000177599	RP11-85O21.2	Rps6kl1	r_(CAAAC)n	Pabpn1l	ENSG00000137055	POLR3A	ENSG00000133627	CCDC41-AS1	ENSMUSG00000029094	CTDSPL2
2379	ENSG00000248890	TCF7L1	Tmem106a	r_MER44B	Serpinb12	ENSG00000108826	ASB11	ENSG00000178163	PRR14L	ENSMUSG00000038497	IL1RAP
2380	ENSG00000143515	TMC7	Tmem126a	Pde1a	Kank4	ENSG00000186891	IRF1	ENSG00000023191	BLOC1S5	ENSMUSG00000075511	PLEKHA8
2381	ENSG00000139133	WNT11	Atp1b1	Mnt	A730056A06Rik	ENSG00000165097	ZNF578	ENSG00000243566	CCP110	ENSMUSG00000026761	SPTAN1
2382	ENSG00000276045	ZNF426	Mettl10	Rin1	4933407E24Rik	ENSG00000273604	CCDC74B-AS1	ENSG00000077713	KIF11	ENSMUSG00000045667	XPO5
2383	ENSG00000272205	RAP2C	Rnf11	Ooep	Hsd3b6	ENSG00000070785	USO1	ENSG00000143375	NOP14-AS1	ENSMUSG00000023074	LOC284865
2384	ENSG00000121104	ATL2	Lmo7	Col16a1	Krtap13-1	ENSG00000135838	PLCXD1	ENSG00000163378	ZFP64	ENSMUSG00000009535	PTK6
2385	ENSG00000122481	FKBP9	Maneal	Gmfg	Mc5r	ENSG00000266378	ERCC6	ENSG00000185504	SECISBP2L	ENSMUSG00000003778	C6orf25
2386	ENSG00000139438	KCTD13	Fez2	Podn	Pramel5	ENSG00000075240	YOD1	ENSG00000168234	GNPTG	ENSMUSG00000024892	MS4A7
2387	ENSG00000130340	ANKRD42	Ccdc12	D19Ertd386e	Tspan11	ENSG00000088448	OR4N2	ENSG00000178741	LGALS12	ENSMUSG00000038007	PTGER3
2388	ENSG00000237094	UBE3D	Hspd1	Loh12cr1	Gpr182	ENSG00000198420	SOX6	ENSG00000165914	C11orf74	ENSMUSG00000065362	TCL6
2389	ENSG00000124003	NIF3L1	Kank2	Snca	Ltk	ENSG00000148110	WNT4	ENSG00000254122	USP32P1	ENSMUSG00000030534	ZNF682
2390	ENSG00000078295	PDCL3	Eno1	Twist1	Ctcflos	ENSG00000112144	NPHS1	ENSG00000076641	TOB2	ENSMUSG00000031974	MLANA
2391	ENSG00000272379	CHRNB1	Tpst1	Bicd2	Slc14a2	ENSG00000253710	COX18	ENSG00000138111	MFAP3	gERCC-00067	ID3
2392	ENSG00000227627	C17orf58	Gtpbp4	Celf2	4930402F11Rik	ENSG00000187097	8-Mar	ENSG00000112852	TTLL3	ENSMUSG00000024391	SLFNL1-AS1
2393	ENSG00000253174	PRAF2	Abhd15	Clcn5	C8g	ENSG00000119682	CCDC93	ENSG00000142599	DHRS3	ENSMUSG00000024833	MOSPD1
2394	ENSG00000272502	DERL1	Nufip2	Gldc	Cabyr	ENSG00000129245	WDR92	ENSG00000204188	SIK2	ENSMUSG00000041429	CHRNA5
2395	ENSG00000260992	LINGO1	Mylip	Tbc1d16	Eya4	ENSG00000004139	DYNC2H1	ENSG00000144857	CHMP1A	ENSMUSG00000021038	ZBED5
2396	ENSG00000274904	RBCK1	Ust	Mylk	Olfr177	ENSG00000155115	DSCAM-AS1	ENSG00000183688	NUPR1	ENSMUSG00000027510	ZNF280D
2397	ENSG00000168589	PDCD4	Cops3	Rnf215	Scgb1c1	ENSG00000181026	TM9SF3	ENSG00000219438	LINC00910	ENSMUSG00000083328	C2orf83
2398	ENSG00000233101	DYNLL1-AS1	Atpaf2	Sprr2k	Vmn1r205	ENSG00000028277	SIGLEC14	ENSG00000205808	LINC00221	ENSMUSG00000084139	PRDM14
2399	ENSG00000065717	NAPRT1	Fah	Isg20	Siglec1	ENSG00000213809	CLOCK	ENSG00000105146	THRAP3	ENSMUSG00000002031	CLU
2400	ENSG00000100342	QPCTL	Ifrd2	Mmp15	Olfr295	ENSG00000102974	ZNF644	ENSG00000149922	ANGEL2	ENSMUSG00000035199	HIPK1
2401	ENSG00000132182	TIGD5	Fam122a	Glrx2	Ccdc33	ENSG00000159131	DYX1C1-CCPG1	ENSG00000105392	COX10-AS1	ENSMUSG00000083866	LOC100505918
2402	ENSG00000148843	NDUFA9	Pcdhga11	Fam102a	4933417A18Rik	ENSG00000120675	EFTUD1	ENSG00000248383	WDR73	ENSMUSG00000003992	SNX13
2403	ENSG00000168280	CYP2R1	Pcdhgc3	Sort1	Alpk2	ENSG00000091483	MTCP1	ENSG00000154478	SCN3B	ENSMUSG00000056917	TUSC5
2404	ENSG00000136099	CXorf38	Pecam1	Tmem161a	Ccr6	ENSG00000151779	CLN8	ENSG00000137699	PLEKHH1	ENSMUSG00000056121	TCAM1P
2405	ENSG00000229245	ECSIT	Pno1	Zfp71-rs1	Fbxw10	ENSG00000055147	CXorf56	ENSG00000075223	APRT	ENSMUSG00000032232	MAP3K9
2406	ENSG00000163923	SLC4A2	Lig4	Tspan4	Gimap7	ENSG00000127951	PRR23C	ENSG00000127452	BRCA2	ENSMUSG00000021820	NARS2
2407	ENSG00000196092	ARL10	Pon3	Frzb	Cpne7	ENSG00000157741	MYOZ3	ENSG00000163873	NFE2L2	ENSMUSG00000025184	RBM22
2408	ENSG00000242687	GSS	Plod3	Gmppb	Barhl1	ENSG00000107566	ZNF681	ENSG00000198205	ZNF322	ENSMUSG00000028910	SGOL2
2409	ENSG00000158483	PISD	Dhodh	Pacrgl	Olfr1006	ENSG00000120696	CTSZ	ENSG00000205643	VPS13C	ENSMUSG00000001943	LIN28A
2410	ENSG00000162645	SPTBN4	Zfp746	Lrfn4	Olfr1310	ENSG00000140382	SCN2B	ENSG00000164038	CDH1	ENSMUSG00000048807	IPO7
2411	ENSG00000180999	BBS5	Trp53bp2	Galk1	Olfr51	ENSG00000167705	LOC100130691	ENSG00000174080	DPAGT1	ENSMUSG00000084989	LINC00330
2412	ENSG00000144476	C21orf90	Sh3bp1	Lrp12	Stpg2	ENSG00000120784	ARFIP2	ENSG00000009724	TMEM43	ENSMUSG00000026248	MTRNR2L1
2413	ENSG00000118193	CD82	Cyth2	Rapgef3	Chd5	ENSG00000170542	TAT	ENSG00000184110	COA3	ENSMUSG00000082500	KIAA1614
2414	ENSG00000105939	FAM171A2	Cadm1	Nexn	1810021B22Rik	ENSG00000077348	GINS1	ENSG00000008382	RAD9A	ENSMUSG00000061559	PCED1B-AS1
2415	ENSG00000234129	FAM83H	Serpinb6a	Plekha4	2010109A12Rik	ENSG00000267673	LOC100507501	ENSG00000008516	CSTA	ENSMUSG00000010047	LOC728342
2416	ENSG00000267666	FAR2	Meis2	1110003E01Rik	Cldn11	ENSG00000054523	KLF10	ENSG00000162999	DHX38	ENSMUSG00000022550	SLC17A5
2417	ENSG00000136830	RP11-545I5.3	Fdxacb1	Ctsf	Olfr310	ENSG00000213865	PTK6	ENSG00000143850	GAL3ST1	ENSMUSG00000098161	MT3
2418	ENSG00000157895	STIM1	Psmb10	Rbbp9	Wisp2	ENSG00000135457	KIF1C	ENSG00000141873	PLEKHB2	ENSMUSG00000030682	RD3
2419	ENSG00000116833	NAT10	Sil1	Hspg2	Gm5134	ENSG00000085063	MKI67	ENSG00000197245	R3HDM1	ENSMUSG00000073650	SIDT1
2420	ENSG00000111783	MANBAL	Trappc10	Adam10	Mybph	ENSG00000164168	SETX	ENSG00000060709	ZNF446	ENSMUSG00000038302	IL31RA
2421	ENSG00000105649	FAM189B	E130201H02Rik	Vash2	Synm	ENSG00000182287	DNAJC7	ENSG00000173918	FEM1C	ENSMUSG00000044060	DTX3
2422	ENSG00000005100	LIX1L	Arrdc4	BC031181	4930430J02Rik	ENSG00000110492	LCTL	ENSG00000203724	IPO13	ENSMUSG00000030104	INTS9
2423	ENSG00000137309	RFWD2	Sltm	Tgfb3	4933406K04Rik	ENSG00000138629	ZIM3	ENSG00000163082	MAT2B	ENSMUSG00000038644	PARP12
2424	ENSG00000151715	SARS2	Tmem30a	A430110N23Rik	4933430M04Rik	ENSG00000114054	ZNF345	ENSG00000179772	RNF31	ENSMUSG00000028256	POLG2
2425	ENSG00000134548	ABHD12	Jmjd4	Nfkb2	Adamts6	ENSG00000100296	ZNF48	ENSG00000057657	SLC5A3	ENSMUSG00000024542	ZNF660
2426	ENSG00000107551	DAP	Dtna	Prdm16	Apoc4	ENSG00000168040	LOC100129269	ENSG00000197408	UROS	ENSMUSG00000037348	USP47
2427	ENSG00000269893	HIATL1	Plxna3	Gpr153	B3gnt6	ENSG00000084676	LRBA	ENSG00000107014	PTGS1	ENSMUSG00000025647	PLA2G4E
2428	ENSG00000237880	KANK1	Syn1	Pkn1	BC021614	ENSG00000115486	MAML2	ENSG00000049239	ZNF146	ENSMUSG00000078525	PBOV1
2429	ENSG00000228308	NOTCH3	Btg1	Sec63	Gm12429	ENSG00000187231	SPATA13	ENSG00000198932	PIKFYVE	ENSMUSG00000024764	ZNF527
2430	ENSG00000171476	SERP2	Sik1	Evc	Mir433	ENSG00000001561	TPTE2P5	ENSG00000162585	CLINT1	ENSMUSG00000081673	TOP3A
2431	ENSG00000272871	HADH	Pcdhga4	Lphn1	Mir6417	ENSG00000044446	SMARCA1	ENSG00000235169	FBXW5	ENSMUSG00000027722	PLD6
2432	ENSG00000255843	GBF1	Spint2	Snora26	Mirlet7f-2	ENSG00000140451	DNAJC27-AS1	ENSG00000214717	PGAM5	ENSMUSG00000014039	NOTCH2NL
2433	ENSG00000282246	YIPF1	Elovl5	Pla2g15	Murc	ENSG00000179409	TINCR	ENSG00000256045	SLC25A5	ENSMUSG00000057835	LOC100128682
2434	ENSG00000256101	DEXI	BC005537	Btbd6	Olfr120	ENSG00000230148	PDIA3P	ENSG00000117461	HLA-DOA	ENSMUSG00000031349	LOC100294362
2435	ENSG00000275445	ERBB2	Dnajb12	Abcc5	Olfr412	ENSG00000182093	NOG	ENSG00000122870	MT1X	ENSMUSG00000026270	BZW1
2436	ENSG00000122180	MMAB	Dtnb	Abcb10	Olfr481	ENSG00000081870	CDKN2A	ENSG00000157653	LIPT1	ENSMUSG00000056412	PRCC
2437	ENSG00000233223	COPS5	Prr24	r_(GGGTG)n	Olfr695	ENSG00000147874	DLG2	ENSG00000188770	C14orf178	ENSMUSG00000028836	FUBP3
2438	ENSG00000067840	GPR157	Taf9	Eps15l1	Olfr70	ENSG00000120860	LRCH1	ENSG00000141542	GTPBP2	ENSMUSG00000037885	KLF10
2439	ENSG00000259940	MARS2	Nol7	Tdrd12	Olfr761	ENSG00000160072	NUMBL	ENSG00000133816	MRPL34	ENSMUSG00000001380	UTP6
2440	ENSG00000116132	SLC25A12	Hoxc13	Stard13	Snora52	ENSG00000100749	FBXO11	ENSG00000236104	CTBP1-AS2	ENSMUSG00000037492	RAX2
2441	ENSG00000086619	ATP6V1H	Itm2c	Traip	Tas2r143	ENSG00000163584	CASP10	ENSG00000072818	C10orf95	ENSMUSG00000032175	CRTAM
2442	ENSG00000157353	CHFR	Hnrnpab	Ttll11	Vmn1r90	ENSG00000107796	LIMD1	ENSG00000103202	SLC7A8	ENSMUSG00000091747	PLK2
2443	ENSG00000140848	C9orf69	Clstn3	Rpusd1	9330162B11Rik	ENSG00000114166	C9orf66	ENSG00000078295	LOC338817	ENSMUSG00000007480	UBE3C
2444	ENSG00000081760	COMTD1	Nmrk2	Zbtb2	Tpte	ENSG00000164068	NUDT7	ENSG00000255561	SLC4A5	ENSMUSG00000027332	DOCK11
2445	ENSG00000158805	OGDHL	Ybx1	Pomgnt1	Itih4	ENSG00000158525	CCBE1	ENSG00000137857	CREB3	ENSMUSG00000036721	TLR8-AS1
2446	ENSG00000102802	RP11-798G7.6	Dsg2	Atp6v0e2	Acot6	ENSG00000166197	CR1	ENSG00000196648	CHD8	ENSMUSG00000053870	CORO2A
2447	ENSG00000270020	MEGF6	Fsd1	Sepn1	2310050C09Rik	ENSG00000068120	OTUD6A	ENSG00000182909	CYP4F11	ENSMUSG00000026036	GALNT6
2448	ENSG00000162063	SCARNA5	Cdc42ep5	Inhba	4930428E07Rik	ENSG00000137168	DACT1	ENSG00000168032	TSR1	ENSMUSG00000061882	LOC400891
2449	ENSG00000102034	FAM214B	Mfsd7c	4933408B17Rik	Ache	ENSG00000198839	SLX4	ENSG00000205089	NDST2	ENSMUSG00000025423	ETS2
2450	ENSG00000179240	KALRN	Rcbtb1	G6pdx	Mpzl3	ENSG00000126561	ANKMY2	ENSG00000240204	RINL	ENSMUSG00000093447	FEM1C
2451	ENSG00000275966	ABR	Ctnna1	Crb3	Olfr332	ENSG00000246223	PEMT	ENSG00000160219	LARP4B	ENSMUSG00000056698	NUDT3
2452	ENSG00000196550	ALG3	Noxred1	Ebf3	Olfr820	ENSG00000142864	LOC285819	ENSG00000182551	FAM129B	ENSMUSG00000022677	PBX3
2453	ENSG00000139220	CCDC110	Lrfn4	Med16	Mc4r	ENSG00000118961	LOC154092	ENSG00000073803	ASB4	ENSMUSG00000033499	SCAF8
2454	ENSG00000167377	ERCC8	Hdlbp	Nynrin	Ankef1	ENSG00000204252	MT1IP	ENSG00000102935	FCRL1	ENSMUSG00000051379	ZNF141
2455	ENSG00000253392	HLF	Cbx4	Dgat2	Ctrc	ENSG00000272894	FLJ12825	ENSG00000114993	TSEN2	ENSMUSG00000029201	LRRC57
2456	ENSG00000198838	LINC00663	Eif2s1	Dock7	Myrfl	ENSG00000273061	KIAA1456	ENSG00000053371	FBXO40	ENSMUSG00000026000	IRAK2
2457	ENSG00000226849	LINC01037	Ubox5	Large	Olfr90	ENSG00000174080	BRAF	ENSG00000139219	ATAD3B	ENSMUSG00000068457	PTENP1
2458	ENSG00000117013	MAPKAPK5	Kcnip3	Far1	Cyp26b1	ENSG00000260589	HIST1H4J	ENSG00000184702	TCEANC	ENSMUSG00000047153	IDO1
2459	ENSG00000240038	MT-TM	Mkx	Dtnb	Gm1715	ENSG00000249115	IFIT5	ENSG00000140937	TCFL5	ENSMUSG00000056687	SLC6A14
2460	ENSG00000215866	NR5A2	Arfgap3	Ube2m	Kcne2	ENSG00000123815	RASA4	ENSG00000140691	THNSL1	ENSMUSG00000034800	SV2B
2461	ENSG00000242791	PBX4	Mthfd2	BC049349	Gm4532	ENSG00000128654	C15orf52	ENSG00000109920	AMN1	ENSMUSG00000028973	OPRK1
2462	ENSG00000113248	PGM5	Nol8	Socs6	Vmn1r8	ENSG00000136891	KCP	ENSG00000118507	BCL2L12	ENSMUSG00000039536	LOC100131347
2463	ENSG00000187258	PPFIBP2	Slc35f2	Iqce	Ces2h	ENSG00000170653	ZC3H12B	ENSG00000130182	C11orf95	ENSMUSG00000035754	NKD1
2464	ENSG00000102387	PPM1M	Tmem66	Srf	Klf17	ENSG00000135837	ATP1B4	ENSG00000136463	C2orf47	ENSMUSG00000050471	GREB1
2465	ENSG00000256813	RP1-43E13.2	9930111J21Rik1	Tex2	Lce1b	ENSG00000014641	SNIP1	ENSG00000144026	CAT	ENSMUSG00000036980	DAND5
2466	ENSG00000139537	RP11-138C9.1	Cap2	Grb10	Obox6	ENSG00000196505	LOC100129518	ENSG00000172318	CBR4	ENSMUSG00000021367	SLC25A45
2467	ENSG00000261103	RP11-285F7.2	Clcnkb	r_Kanga1	Olfr1221	ENSG00000171469	PLEKHM3	ENSG00000185813	CIAPIN1	ENSMUSG00000028675	SLC24A4
2468	ENSG00000132481	RP11-38M8.1	Entpd2	Gga1	Olfr1288	ENSG00000127220	ZADH2	ENSG00000198771	EXOSC1	ENSMUSG00000039202	CATSPER2
2469	ENSG00000173762	RP11-442H21.2	Khnyn	Gjb5	Gpd1	ENSG00000074706	WNT7B	ENSG00000132256	FAM118B	ENSMUSG00000074652	CNTNAP2
2470	ENSG00000267033	RTKN	Mgat3	Asf1a	A630019I02Rik	ENSG00000121940	LAIR1	ENSG00000185567	GALT	ENSMUSG00000031570	LRRFIP2
2471	ENSG00000112539	SLC10A4	Plekhg6	Ccdc157	Hrg	ENSG00000181315	LOC100268168	ENSG00000132199	HAPLN1	ENSMUSG00000087411	TANC2
2472	ENSG00000273271	SLC25A30	Rsph1	Zbtb25	Mcpt2	ENSG00000205356	PACRG	ENSG00000137267	HCCS	ENSMUSG00000079137	SPIRE2
2473	ENSG00000006327	SMIM14	Sall2	Adra1d	Prdm6	ENSG00000146802	SLC9A9	ENSG00000148343	HMGCL	ENSMUSG00000040694	ZC3H12D
2474	ENSG00000179406	TSKS	Skida1	4933409K07Rik	Slc3a1	ENSG00000197961	ZNF660	ENSG00000073756	HYDIN	ENSMUSG00000036306	NT5C
2475	ENSG00000004660	SDR39U1	Tacr1	Slc37a4	Fcnb	ENSG00000239305	BMP8A	ENSG00000134955	JOSD2	ENSMUSG00000020038	CCDC85C
2476	ENSG00000166292	TMLHE	Tmem170b	Rprm	Krtap1-3	ENSG00000175066	ZNF321P	ENSG00000103056	KIAA0556	ENSMUSG00000052337	CDC7
2477	ENSG00000109099	HIST3H2A	Tox3	Ergic1	Olfr657	ENSG00000185010	CHD1	ENSG00000099960	LARGE	ENSMUSG00000062232	GLMN
2478	ENSG00000177873	CLUH	Zfp560	Plk3	1700003E16Rik	ENSG00000156469	NPTXR	ENSG00000248801	LRIG1	ENSMUSG00000025956	ICAM1
2479	ENSG00000235823	MID1IP1	Daxx	Ptpn1	1700012D14Rik	ENSG00000185716	ANKLE1	ENSG00000162552	MAFB	ENSMUSG00000082118	GOLGA6L1
2480	ENSG00000247982	CYR61	Clu	Stat5b	Smim6	ENSG00000196712	NMNAT1	ENSG00000179855	ME3	ENSMUSG00000021965	MGC16142
2481	ENSG00000187942	MTBP	BC065397	Hs6st2	Sowahd	ENSG00000073605	SLC48A1	ENSG00000269210	MRGPRF	ENSMUSG00000027194	GPX4
2482	ENSG00000260742	RRNAD1	Mcl1	Tshz1	Spata18	ENSG00000108439	RAD51	ENSG00000100095	MRPL54	ENSMUSG00000041958	EZR
2483	ENSG00000182870	RRP1	Itga6	Ifih1	Mmd2	ENSG00000172687	FBXO27	ENSG00000171222	NECAB1	ENSMUSG00000010136	DROSHA
2484	ENSG00000258430	FAM98B	Tma16	4930455F23Rik	Gm4788	ENSG00000127364	UFL1	ENSG00000112414	NSUN2	ENSMUSG00000072980	RNF217
2485	ENSG00000260037	PCSK6	Tmem231	Glt8d2	Gm4846	ENSG00000184785	MOB3A	ENSG00000154640	RBM15	ENSMUSG00000023846	AQR
2486	ENSG00000215472	ZC3H10	Elac1	Mmaa	A630095E13Rik	ENSG00000123360	LOC374443	ENSG00000116852	RFX5	ENSMUSG00000031714	HLTF
2487	ENSG00000167642	ATG4B	Zdhhc16	D230037D09Rik	BC051628	ENSG00000198400	TINAGL1	ENSG00000171174	SAP130	ENSMUSG00000010045	ZNF555
2488	ENSG00000165675	TRIP4	Rchy1	Cpne2	Cdr1	ENSG00000087995	TMEM45B	ENSG00000123815	SPHK2	ENSMUSG00000036537	CYP2B6
2489	ENSG00000161958	AMMECR1L	Ptpmt1	Dnajb9	E130307A14Rik	ENSG00000136878	CCNF	ENSG00000175265	SPOPL	ENSMUSG00000083763	SHE
2490	ENSG00000250312	ENHO	Prcp	Pja2	E330034G19Rik	ENSG00000124688	HTATSF1P2	ENSG00000101160	SYF2	ENSMUSG00000082364	LOC728730
2491	ENSG00000185220	SH2D2A	Heatr1	Tmem30a	Gjb6	ENSG00000114735	ZMYM4	ENSG00000127419	TBC1D8B	ENSMUSG00000035778	AQP6
2492	ENSG00000230352	ADA	Nfx1	Slc35d1	Gm12238	ENSG00000111602	AQP6	ENSG00000182645	ZC3H7A	ENSMUSG00000026849	ARIH2OS
2493	ENSG00000135549	4-Sep	Mfn1	Lamp1	Krt73	ENSG00000157184	MED13	ENSG00000151470	ZNF605	ENSMUSG00000021832	LINC00663
2494	ENSG00000184160	STMN2	Luzp1	Rgnef	Lipm	ENSG00000099290	DFFB	ENSG00000143630	ZNF691	ENSMUSG00000031545	FRYL
2495	ENSG00000107984	PGAM1	Alg13	Selp	Mir8090	ENSG00000100578	IL17RD	ENSG00000157060	ABHD13	ENSMUSG00000026280	TMEM260
2496	ENSG00000171522	CLCN5	Add3	Ppapdc1b	Olfr1199	ENSG00000183527	ST3GAL6	ENSG00000111218	ACP2	ENSMUSG00000028089	SCRN1
2497	ENSG00000167965	TPD52	Pkd1	Dopey2	Olfr1360	ENSG00000100764	HIST1H3B	ENSG00000196436	C5	ENSMUSG00000013495	FREM2
2498	ENSG00000254300	EFNA1	4930474G06Rik	Pdpk1	Olfr198	ENSG00000153936	HIST1H4E	ENSG00000129993	CD320	ENSMUSG00000022404	KIRREL
2499	ENSG00000110693	PLLP	Ddx39	Spnb2	Olfr798	ENSG00000237513	PCDHGA5	ENSG00000259384	CPEB1	ENSMUSG00000038736	ST7
2500	ENSG00000249483	RPUSD2	Ptpn11	Sema4f	Olfr960	ENSG00000164944	LINC00340	ENSG00000175497	DCUN1D3	ENSMUSG00000037049	ZNF81
